year,catch,effort,cpue
1977,2583,10819,0.238747
1978,2028,9564,0.212045
1979,2741,7405,0.370155
1980,3218,8947,0.359674
1981,4046,7935,0.509893
1982,4802,6610,0.726475
1983,5686,6936,0.819781
1984,5181,5731,0.904031
1985,5865,9875,0.593924
1986,4840,7062,0.685358
1987,5468,6689,0.817462
1988,5305,11227,0.472522
1989,5349,5756,0.929291
1990,5350,5795,0.92321
1991,7521,7843,0.958944
1992,6466,8987,0.719484
1993,7238,8778,0.824561
1994,8329,13895,0.599424
1995,10884,29599,0.367715
1996,11558,34415,0.335842
1997,15388,30248,0.508728
1998,12370,29862,0.414239
1999,14276,29813,0.478852
2000,14053,23454,0.599173
2001,22040,34089,0.646543
2002,19586,38350,0.510717
2003,30530,166560,0.183297
2004,21854,214443,0.101911
2005,17107,269447,0.063489
2006,26686,85443,0.312325
2007,29174,85978,0.339319
2008,38838,76528,0.507501
2009,35000,63643,0.549943
2010,43002,38885,1.105876
2011,42411,49486,0.85703
2012,39126,47437,0.824799
2013,52396,65084,0.805052
2014,52488,123910,0.423598
